"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q2","Construction (F)","All employees","Euro","2.53"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q3","Construction (F)","All employees","Euro","2.49"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q4","Construction (F)","All employees","Euro","2.48"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q1","Construction (F)","All employees","Euro","2.54"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q2","Construction (F)","All employees","Euro","2.57"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q3","Construction (F)","All employees","Euro","2.5"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q4","Construction (F)","All employees","Euro","2.42"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q1","Construction (F)","All employees","Euro","2.63"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q2","Construction (F)","All employees","Euro","2.67"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q3","Construction (F)","All employees","Euro","2.59"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q4","Construction (F)","All employees","Euro","2.56"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q1","Construction (F)","All employees","Euro","2.63"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q2","Construction (F)","All employees","Euro","2.64"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q3","Construction (F)","All employees","Euro","2.7"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q4","Construction (F)","All employees","Euro","2.84"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q1","Construction (F)","All employees","Euro","2.84"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q2","Construction (F)","All employees","Euro","-0.6"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q3","Construction (F)","All employees","Euro","1.33"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q4","Construction (F)","All employees","Euro","-0.55"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2020Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q1","Construction (F)","All employees","Euro","-0.67"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q2","Construction (F)","All employees","Euro","-0.15"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2021Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
